eckID,gene,JW id,direction,left nt,right nt,left nt,right nt,b number,direction,left,right,left,right,verified,colonies_tested,percent,LB_22hr,MOPS_24hr,MOPS_48hr,genetic,PEC,MG_Tn5,Score,,,,,,
ECK0127,yadH,JW0124,+,143702,144472,143705,144451,b0128,+,143702,144472,143705,144451,8,8,100.0 ,0.747 ,0.324 ,0.411 ,N,N,u,-3,,,,,,
ECK0128,yadI,JW0125,+,144577,145017,144580,144996,b0129,+,144577,145017,144580,144996,8,8,100.0 ,0.735 ,0.394 ,0.465 ,E,N,u,-2,,,,,,
ECK0129,yadE,JW0126,+,145081,146310,145084,146289,b0130,+,145081,146310,145084,146289,8,8,100.0 ,0.781 ,0.312 ,0.326 ,N,u,u,-2,,,,,,
ECK0130,panD,JW0127,-,146314,146694,146335,146691,b0131,-,146314,146694,146335,146691,4,8,50.0 ,0.782 ,0.027 ,0.033 ,N,N,u,-3,,,,,,
ECK0131,yadD,JW5010,+,146968,147870,146971,147849,b0132,+,146968,147870,146971,147849,8,8,100.0 ,0.805 ,0.219 ,0.346 ,N,u,N,-3,,,,,,
ECK0132,panC,JW0129,-,147944,148795,147965,148792,b0133,-,147944,148795,147965,148792,7,8,87.5 ,0.730 ,0.015 ,0.046 ,N,N,u,-3,,,,,,
ECK0133,panB,JW0130,-,148807,149601,148828,149598,b0134,-,148807,149601,148828,149598,6,8,75.0 ,0.701 ,0.012 ,0.010 ,N,N,u,-3,,,,,,
ECK0134,yadC,JW0131,-,149715,150953,149736,150950,b0135,-,149715,150953,149736,150950,8,8,100.0 ,0.750 ,0.313 ,0.310 ,N,u,u,-2,,,,,,
ECK0135,yadK,JW0132,-,151003,151599,151024,151596,b0136,-,151003,151599,151024,151596,7,8,87.5 ,0.834 ,0.385 ,0.466 ,N,u,u,-2,,,,,,
ECK0136,yadL,JW0133,-,151626,152231,151647,152228,b0137,-,151626,152231,151647,152228,7,8,87.5 ,0.759 ,0.460 ,0.562 ,N,u,u,-2,,,,,,
ECK0137,yadM,JW0134,-,152243,152812,152264,152809,b0138,-,152243,152812,152264,152809,7,8,87.5 ,0.752 ,0.393 ,0.447 ,N,u,u,-2,,,,,,
ECK0138,htrE,JW0135,-,152829,155426,152850,155423,b0139,-,152829,155426,152850,155423,8,8,100.0 ,0.745 ,0.310 ,0.374 ,N,N,u,-3,,,,,,
ECK0139,ecpD,JW0136,-,155461,156201,155482,156198,b0140,-,155461,156201,155482,156198,4,8,50.0 ,0.817 ,0.278 ,0.280 ,N,N,u,-3,,,,,,
ECK0140,yadN,JW0137,-,156299,156883,156320,156880,b0141,-,156299,156883,156320,156880,8,8,100.0 ,0.775 ,0.347 ,0.316 ,N,u,u,-2,,,,,,
ECK0141,folK,JW0138,-,157253,157732,157274,157729,b0142,-,157253,157732,157274,157729,0,8,0.0 ,N.A.,N.A.,N.A.,E,N,u,1,,,,,,
ECK0142,pcnB,JW5808,-,157729,159126,157750,159123,b0143,-,157729,159126,157750,159123,8,8,100.0 ,0.828 ,0.391 ,0.495 ,N,N,u,-3,,,,,,
ECK0143,yadB,JW5892,-,159186,160112,159207,160079,b0144,-,159186,160112,159207,160079,6,8,75.0 ,0.815 ,0.374 ,0.408 ,N,u,u,-2,,,,,,
ECK0144,dksA,JW0141,-,160149,160604,160170,160601,b0145,-,160149,160604,160170,160601,4,4,100.0 ,0.603 ,0.283 ,0.293 ,N,N,u,-3,,,,,,
ECK0145,sfsA,JW0142,-,160782,161486,160803,161483,b0146,-,160782,161486,160803,161483,8,8,100.0 ,0.787 ,0.301 ,0.163 ,N,N,u,-3,,,,,,
ECK0146,ligT,JW5011,-,161501,162031,161522,162028,b0147,-,161501,162031,161522,162028,8,8,100.0 ,0.709 ,0.479 ,0.506 ,N,u,N,-3,,,,,,
ECK0147,hrpB,JW0144,+,162105,164534,162108,164513,b0148,+,162105,164534,162108,164513,6,8,75.0 ,0.828 ,0.336 ,0.402 ,N,N,u,-3,,,,,,
ECK0148,mrcB,JW0145,+,164730,167264,164733,167243,b0149,+,164730,167264,164733,167243,4,4,100.0 ,0.608 ,0.180 ,0.141 ,N,N,u,-3,,,,,,
ECK0149,fhuA,JW0146,+,167484,169727,167487,169706,b0150,+,167484,169727,167487,169706,7,8,87.5 ,0.887 ,0.255 ,0.267 ,N,N,N,-4,,,,,,
ECK0150,fhuC,JW0147,+,169778,170575,169781,170554,b0151,+,169778,170575,169781,170554,8,8,100.0 ,0.776 ,0.369 ,0.413 ,N,N,N,-4,,,,,,
ECK0151,fhuD,JW0148,+,170575,171465,170578,171444,b0152,+,170575,171465,170578,171444,7,8,87.5 ,0.822 ,0.370 ,0.541 ,N,N,N,-4,,,,,,
ECK0152,fhuB,JW0149,+,171462,173444,171465,173423,b0153,+,171462,173444,171465,173423,8,8,100.0 ,0.695 ,0.435 ,0.542 ,N,N,N,-4,,,,,,
ECK0153,hemL,JW0150,-,173602,174882,173623,174879,b0154,-,173602,174882,173623,174879,0,8,0.0 ,N.A.,N.A.,N.A.,E,N,u,1,,,,,,
ECK0154,clcA,JW5012,+,175107,176528,175110,176507,b0155,+,175107,176528,175110,176507,7,8,87.5 ,0.988 ,0.340 ,0.384 ,N,u,N,-3,,,,,,
ECK0155,yadR,JW0152,+,176610,176954,176613,176933,b0156,+,176610,176954,176613,176933,0,8,0.0 ,N.A.,N.A.,N.A.,N,u,u,1,,,,,,
ECK0156,yadS,JW0153,-,177001,177624,177022,177621,b0157,-,177001,177624,177022,177621,7,8,87.5 ,0.709 ,0.428 ,0.533 ,?,u,N,-2.5,,,,,,
